start_location,end_location,total_cost
AT21,ITH3,494
AT21,ITH4,300
AT21,ITH5,719
AT21,ITI1,864
AT21,ITI2,933
AT21,ITI3,1011
AT21,ITI4,1266
AT21,LT00,1777
AT21,LU00,1388
AT21,LV00,2014
AT21,MT00,3274
AT21,NL11,1844
AT21,NL12,1852
AT21,NL13,1768
AT21,NL21,1690
AT21,NL22,1690
AT21,NL23,1825
AT21,NL31,1811
AT21,NL32,1867
AT21,NL33,1840
AT21,NL34,1847
AT21,NL41,1687
AT21,NL42,1578
AT21,PL11,1155
AT21,PL12,1298
AT21,PL21,1012
AT21,PL22,894
AT21,PL31,1426
AT21,PL32,1275
AT21,PL33,1142
AT21,PL34,1496
AT21,PL41,1222
AT21,PL42,1446
AT21,PL43,1137
AT21,PL51,983
AT21,PL52,939
AT21,PL61,1411
AT21,PL62,1570
AT21,PL63,1633
AT21,PT11,3513
AT21,PT15,3722
AT21,PT16,3436
AT21,PT17,3671
AT21,PT18,3469
AT21,PT20,9259
AT21,PT30,7287
AT21,RO11,1269
AT21,RO12,1338
AT21,RO21,1616
AT21,RO22,1674
AT21,RO31,1515
AT21,RO32,1545
AT21,RO41,1366
AT21,RO42,1125
AT21,SE11,3203
AT21,SE12,3134
AT21,SE21,2890
AT21,SE22,2539
AT21,SE23,2830
AT21,SE31,3165
AT21,SE32,3644
AT21,SE33,4108
AT21,SI01,306
AT21,SI02,225
AT21,SK01,557
AT21,SK02,646
AT21,SK03,804
AT21,SK04,1085
AT21,UKC1,2819
AT21,UKC2,2819
AT21,UKD1,2874
AT21,UKD3,2752
AT21,UKD4,2759
AT21,UKD6,2712
AT21,UKD7,2767
AT21,UKE1,2715
AT21,UKE2,2773
AT21,UKE3,2671
AT21,UKE4,2726
AT21,UKF1,2636
AT21,UKF2,2534
AT21,UKF3,2583
AT21,UKG1,2603
AT21,UKG2,2653
AT21,UKG3,2615
AT21,UKH1,2506
AT21,UKH2,2438
AT21,UKH3,2427
AT21,UKI1,2521
